stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
42.946509,0,628,-81.23719,,,,,Eden & Nixon Ave WB - #628,0,1620,
42.992638,0,1139,-81.167302,,,,,Marconi & Trafalgar St. SB - #1139,0,1994,
42.962174,0,637,-81.256749,,,,,Edward & Highway SB - #637,0,1629,
42.978546,0,871,-81.200567,,,,,Hamilton & Pine Lawn Ave EB - #871,0,1787,
43.008251,0,2258,-81.209422,,,,,Oxford & Highbury - #2258,0,2864,
43.001678,0,,-81.25635,,,,,Richmond & Cheapside - #,0,2868,
42.962455,0,86,-81.219962,,,,,Adelaide & Thompson Rd FS 4 SB - #86,0,1199,
42.965996,0,85,-81.221812,,,,,Adelaide & Thompson Rd FS 2 SB - #85,0,1198,
42.993791,0,76,-81.234088,,,,,Adelaide & Rosedale St SB - #76,0,1191,
43.002171,0,79,-81.238249,,,,,Adelaide & St. James St SB - #79,0,1193,
43.002071,0,78,-81.238032,,,,,Adelaide & St. James St NB - #78,0,1192,
42.972963,0,81,-81.224651,,,,,Adelaide & Terrace St NB - #81,0,1195,
43.030415,0,80,-81.252305,,,,,Adelaide & Tennant NB - #80,0,1194,
42.964134,0,83,-81.220869,,,,,Adelaide & Thompson Rd FS 3 SB - #83,0,1196,
42.981498,0,837,-81.191082,,,,,Hale & Magee St. SB - #837,0,1759,
42.992419,0,836,-81.196006,,,,,Hale & Graydon St. NB - #836,0,1758,
42.979462,0,835,-81.19096,,,,,Hale & Ellsworth Ave SB - #835,0,1757,
42.994041,0,834,-81.196761,,,,,Hale & Eastman Ave. NB - #834,0,1756,
42.997836,0,833,-81.19854,,,,,Hale & Dundas St.  NB - #833,0,1755,
42.995742,0,832,-81.197646,,,,,Hale & Doulton St. SB - #832,0,1754,
42.996102,0,831,-81.197705,,,,,Hale & Doulton St. NB - #831,0,1753,
42.994478,0,828,-81.197049,,,,,Hale & Beattie St. SB - #828,0,1752,
42.93825,0,60,-81.209242,,,,,Adelaide & Osgoode Dr SE Leg NB - #60,0,1177,
42.977503,0,59,-81.226792,,,,,Adelaide & Nelson St SB - #59,0,1176,
42.977567,0,58,-81.226683,,,,,Adelaide & Nelson St NB - #58,0,1175,
42.997642,0,57,-81.23587,,,,,Adelaide & McMahen NB - #57,0,1174,
42.970708,0,56,-81.223681,,,,,Adelaide & Maud St NB - #56,0,1173,
42.992328,0,54,-81.233229,,,,,Adelaide & Lorne Ave NB - #54,0,1172,
42.982516,0,53,-81.228761,,,,,Adelaide & Little Simcoe NB - #53,0,1171,
42.965978,0,2185,-81.221654,,,,,Adelaide & Leathorne St FS 3 NB - #2185,0,1170,
42.942427,0,62,-81.213344,,,,,Adelaide & Osgoode Dr - NE Leg NB - #62,0,1179,
42.941834,0,61,-81.213008,,,,,Adelaide & Osgoode Dr - NW Leg SB - #61,0,1178,
42.959719,0,185,-81.256187,,,,,Base Line & Edward St WB - #185,0,1284,
42.960366,0,187,-81.248749,,,,,Base Line & Elworthy Ave WB - #187,0,1287,
42.96029,0,186,-81.248913,,,,,Base Line & Elworthy Ave EB - #186,0,1286,
42.960015,0,182,-81.252743,,,,,Base Line & Cathcart St WB - #182,0,1281,
